"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-01",,"0.06","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-02",,"0.00","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-03",,"0.03","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-04",,"0.00","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-06",,"0.00","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-07",,"0.27","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-08",,"0.26","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-09",,"0.02","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-10",,"0.27","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-11",,"0.01","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-12",,"0.22","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-13",,"0.17","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-14",,"0.19","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-15",,"0.18","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-16",,"0.74","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-17",,"0.15","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-18",,"0.39","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-19",,"0.01","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-20",,"0.00","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-21",,"0.35","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-22",,"0.06","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-23",,"0.02","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-24",,"0.07","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-25",,"0.09","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-26",,"0.04","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-27",,"0.26","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-28",,"0.00","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-29",,"0.00","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-30",,"0.00","0.0",,
"US1WAWC0082","BELLINGHAM 2.5 S, WA US","2023-01-31",,"0.04","1.0",,
